Index,1A Velocities O (m/s),1A Velocities U (m/s),1A Velocities UI (m/s),6A Velocities O (m/s),6A Velocities U (m/s),6A Velocities UI (m/s),11A Velocities O (m/s),11A Velocities U (m/s),11A Velocities UI (m/s)
1,0.111856823,0.285714286,0.023866348,0.044444444,0.261780105,0.103092784,0.060240964,0.347222222,0.161812298
2,0.105263158,0.285714286,0.027100271,0.033670034,0.257731959,0.114155251,0.058479532,0.333333333,0.147928994
3,0.108225108,0.295857988,0.020876827,0.033333333,0.234741784,0.120192308,0.060606061,0.297619048,0.153846154
4,0.110375276,0.295857988,0.025,0.02688172,0.253807107,0.111856823,0.070921986,0.320512821,0.152439024
5,0.105932203,0.295857988,0.025839793,0.031347962,0.257731959,0.111111111,0.062893082,0.314465409,0.158227848
6,0.108225108,0.280898876,0.025,0.029325513,0.242718447,0.114942529,0.059171598,,
7,0.105263158,0.285714286,0.022883295,0.029673591,,,0.062893082,,
8,0.108225108,0.279329609,0.024096386,0.028818444,,,0.064102564,,
9,0.111111111,0.279329609,0.025188917,0.029411765,,,0.065359477,,
10,0.110375276,0.295857988,0.024752475,,,,0.057142857,,
11,0.105932203,0.295857988,,,,,,,
12,,0.290697674,,,,,,,
